title,release_date,genres
Semispheres Soundtrack,2017-02-14,"['Indie', 'Strategy']"
Semispheres,2017-02-14,"['Indie', 'Strategy']"
Nancy Drew®: Labyrinth of Lies,2014-10-14,['Adventure']
Forge of Gods: Beauties and the Beasts Pack,2017-02-13,"['Free to Play', 'Massively Multiplayer', 'RPG', 'Strategy']"
Fantasy Grounds - Necropolis 2350: Setting (Savage Worlds),2017-02-13,"['Indie', 'RPG', 'Strategy']"
Fantasy Grounds - A Wedding at Axebridge (RMC),2017-02-13,"['Indie', 'RPG', 'Strategy']"
Fantasy Grounds - DB2 Crater of Umeshti (Castles &amp; Crusades),2017-02-13,"['Indie', 'RPG', 'Strategy']"
Fantasy Grounds - Horror's Heart (Call of Cthulhu),2017-02-13,"['Indie', 'RPG', 'Strategy']"
Fantasy Grounds - Mini-Dungeon #021: Daenyr’s Return (PFRPG),2017-02-13,"['Indie', 'RPG', 'Strategy']"
Fantasy Grounds - DB1 The Haunted Highlands (Castles and Crusades),2017-02-13,"['Indie', 'RPG', 'Strategy']"
Fantasy Grounds - Mini-Dungeon #022: Pleasure Den (PFRPG),2017-02-13,"['Indie', 'RPG', 'Strategy']"
Canvas The Gallery - Artist Pack,2017-02-13,"['Casual', 'Free to Play', 'Indie', 'Simulation']"
Ashes of Immortality II - Bad Blood,2017-02-13,"['Adventure', 'Casual', 'Indie', 'RPG']"
MX Nitro,2017-02-14,"['Racing', 'Simulation', 'Sports']"
Sniper Elite 4 - Season Pass,2017-02-13,"['Action', 'Adventure']"
DOA5LR Alluring Mandarin Dress Set,2017-02-13,['Action']
Laser Lasso BALL,2017-02-13,"['Action', 'Indie', 'Sports']"
Darwin's Demons,2017-02-13,"['Action', 'Casual', 'Indie', 'Simulation']"
TAIKU MANSION,2017-02-13,"['Action', 'Adventure']"
Lost Eden,1995-01-01,"['Adventure', 'RPG', 'Strategy']"
Spheroids,2017-02-10,"['Action', 'Adventure', 'Indie']"
LOR - League of Runners,2017-02-13,"['Action', 'Casual', 'Indie', 'Early Access']"
Grappledrome,2017-02-13,"['Action', 'Indie', 'Early Access']"
FEIST Soundtrack,2017-02-13,"['Action', 'Indie']"
HMM Founder's Pack - Gold Edition,2017-02-13,"['Action', 'Free to Play', 'Indie', 'Racing', 'Sports', 'Strategy']"
HMM Founder's Pack - Silver Edition,2017-02-13,"['Action', 'Free to Play', 'Indie', 'Racing', 'Sports', 'Strategy']"
P-51D: High Stakes Campaign,2017-02-10,['Simulation']
HMM Founder's Pack - Bronze Edition,2017-02-13,"['Action', 'Free to Play', 'Indie', 'Racing', 'Sports', 'Strategy']"
8-Bit Armies: Arena,2017-02-10,"['Action', 'Indie', 'Strategy']"
Heavy Gear Assault,2017-02-10,"['Action', 'Indie', 'Simulation', 'Early Access']"
Zombie Ballz,2017-02-10,"['Action', 'Casual', 'Indie']"
DC Universe Online™ - Episode Pack IV,2017-02-10,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']"
WayOut 2: Hex,2017-02-10,"['Casual', 'Indie']"
Ultimagus,2017-02-10,"['Action', 'Indie']"
Rogues Like Us,2017-02-10,"['Action', 'Indie', 'Early Access']"
Block King,2017-02-03,"['Action', 'Casual', 'Indie', 'Massively Multiplayer']"
Faraway Islands,2017-02-10,"['Action', 'Adventure', 'Indie', 'Early Access']"
Evangeline™ Soundtrack,2017-02-10,['Indie']
Western 1849 Reloaded,2017-02-10,"['Action', 'Casual', 'Indie']"
SECLUSION,2017-02-10,"['Action', 'Adventure', 'Indie', 'RPG']"
Ultimate Russian Zombie Rush,2017-02-10,"['Action', 'Adventure', 'Casual', 'Indie']"
nan,nan,nan
Cavern of Time,2017-02-10,"['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Strategy']"
Outbreak - Gold Player Skin,2017-02-10,"['Action', 'Adventure', 'Indie', 'RPG']"
Outbreak - Lightning Player Skin,2017-02-10,"['Action', 'Adventure', 'Indie', 'RPG']"
Typing Instructor Platinum 21 - Mac,2010-09-01,['Education']
Outbreak - Fire Player Skin,2017-02-10,"['Action', 'Adventure', 'Indie', 'RPG']"
Idioctopus,2017-02-10,"['Casual', 'Indie']"
Are You Ready?,2017-02-10,"['Action', 'Casual', 'Indie']"
Outbreak - Rainbow Player Skin,2017-02-10,"['Action', 'Adventure', 'Indie', 'RPG']"
Captain Lycop : Invasion of the Heters,2017-02-10,"['Action', 'Adventure', 'Indie']"
VRC PRO European On-road tracks Deluxe,2017-02-10,"['Action', 'Casual', 'Indie', 'Racing', 'Simulation', 'Sports']"
VRC PRO International Oval On-road tracks Deluxe,2017-02-10,"['Action', 'Casual', 'Indie', 'Racing', 'Simulation', 'Sports']"
VRC PRO Branded cars and components Deluxe,2017-02-10,"['Action', 'Casual', 'Indie', 'Racing', 'Simulation', 'Sports']"
Dragon Kingdom War,2017-02-10,"['Casual', 'Indie', 'RPG', 'Strategy']"
Pixel Puzzles Ultimate - Puzzle Pack: PP2 RADical ROACH,2017-02-10,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports', 'Strategy']"
Star Merc,2017-02-10,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']"
Fishing Planet: Crappie Valentine Pack,2017-02-10,"['Free to Play', 'Massively Multiplayer', 'Simulation', 'Sports']"
Queen's Quest 2: Stories of Forgotten Past,2017-02-09,"['Adventure', 'Casual']"
Realpolitiks,2017-02-16,['Strategy']
We Are Chicago,2017-02-09,"['Adventure', 'Indie', 'Simulation']"
Alone With You,2017-02-09,"['Adventure', 'Indie']"
Alone With You - Official Soundtrack,2017-02-09,"['Adventure', 'Indie']"
PAYDAY 2: John Wick Heists,2017-02-09,"['Action', 'RPG']"
Skull Rush,2017-02-10,"['Casual', 'Indie']"
Ananias Roguelike,2017-02-09,"['Indie', 'RPG', 'Strategy']"
World In Danger,2017-02-09,"['Action', 'Indie']"
Milkmaid of the Milky Way - Soundtrack,2017-02-09,"['Adventure', 'Indie']"
nan,nan,nan
Jump To Die!!,2017-02-09,"['Indie', 'Simulation', 'Strategy']"
Stage of Development: Indie City,2017-02-09,nan
Fantasy Grounds - D&amp;D Lair Assault: Talon of Umberlee,2017-02-09,"['Indie', 'RPG', 'Strategy']"
Typing Instructor for Kids Platinum 5 - Mac,2010-07-01,['Education']
nan,nan,nan
Kult of Ktulu: Olympic,2017-02-09,"['Adventure', 'Casual']"
"DvDrum, Ultimate Drum Simulator!",2017-02-09,"['Casual', 'Indie', 'Simulation', 'Sports']"
nan,nan,nan
FSX Steam Edition: Cessna C172N Skyhawk II Add-On,2017-02-09,['Simulation']
Tricky Towers - Candy Bricks,2017-02-09,"['Casual', 'Indie']"
Lamm,2017-02-09,"['Action', 'Indie']"
Brut@l,2017-02-09,"['Action', 'Adventure']"
Greyhound Manager 2 Rebooted,2011-01-01,"['Indie', 'Simulation', 'Sports']"
Bitku,2017-02-09,"['Free to Play', 'Indie']"
Hell`s Little Story,2017-02-09,"['Action', 'Casual', 'Indie']"
Leaving Lyndow,2017-02-08,"['Adventure', 'Indie']"
Offworld Trading Company - Blue Chip Ventures DLC,2017-02-09,"['Indie', 'Simulation', 'Strategy']"
Cabals: Card Blitz,2017-02-08,"['Free to Play', 'Strategy']"
nan,nan,nan
Witches' Legacy: Slumbering Darkness Collector's Edition,2017-02-08,"['Adventure', 'Casual']"
nan,nan,nan
The Horus Heresy: Battle of Tallarn - Iron Edition,2017-02-08,['Strategy']
Invisigun Heroes,2017-02-08,"['Action', 'Casual', 'Free to Play', 'Indie', 'Strategy']"
Bleed 2,2017-02-08,"['Action', 'Indie']"
Minimalism,2017-02-08,"['Action', 'Adventure', 'Casual', 'Indie']"
On The Path Remastered,2017-02-08,"['Adventure', 'Indie', 'RPG']"
On The Path - Guide to Gameplay,2017-02-08,"['Adventure', 'Indie', 'RPG']"
On The Path - Soundtrack,2017-02-08,"['Adventure', 'Indie', 'RPG']"
The Wild Eight,2017-02-08,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Early Access']"
nan,nan,nan
"On The Path - The Thoughts , Generated by Trifles",2017-02-08,"['Adventure', 'Indie', 'RPG']"
The Wild Eight – Soundtrack,2017-02-08,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation']"
Leaving Lyndow Original Soundtrack,2017-02-08,"['Adventure', 'Indie']"
nan,nan,nan
nan,nan,nan
Blood Harvest,2017-02-07,"['Action', 'Indie']"
nan,nan,nan
Koloro,End 2017,['Indie']
Power Rangers: Dino Charge,2017-02-07,nan
Trainz Route: Fall Harvest Nebraska,2017-02-07,['Simulation']
STAR WARS™ SHADOWS OF THE EMPIRE™,1997-09-17,"['Action', 'Adventure']"
nan,nan,nan
We Need To Go Deeper,2017-02-08,"['Action', 'Indie', 'Simulation', 'Early Access']"
Dirty Dancing,1987-08-21,nan
OR,2017-02-08,"['Casual', 'Indie']"
Arelite Core,2017-02-08,"['Indie', 'RPG']"
Max's Big Bust - A Captain Nekorai Tale,2017-02-07,"['Adventure', 'Indie', 'Simulation']"
Baezult 2,2017-02-06,['Adventure']
nan,nan,nan
WWE 2K17 Season Pass,2017-02-06,"['Simulation', 'Sports']"
WWE 2K17,2017-02-06,"['Simulation', 'Sports']"
Soda Dungeon,2017-02-06,"['Casual', 'Free to Play', 'RPG']"
interLOGIC,2017-02-01,"['Casual', 'Indie']"
Echoes of the Fey Episode 0: The Immolation,2017-02-07,"['Adventure', 'Free to Play', 'Indie']"
Induction,2017-02-07,['Indie']
Echoes of the Fey - The Immolation Soundtrack,2017-02-07,"['Adventure', 'Free to Play', 'Indie']"
Phoning Home Soundtrack,2017-02-07,"['Action', 'Adventure', 'Indie']"
Phoning Home,2017-02-07,"['Action', 'Adventure', 'Indie']"
Splasher,2017-02-07,"['Action', 'Indie']"
Splasher - Official Soundtrack,2017-02-07,"['Action', 'Indie']"
Rocksmith® 2014 Edition – Remastered – Simple Minds - “Don’t You (Forget About Me)”,2017-02-07,"['Casual', 'Simulation']"
Rocksmith® 2014 Edition – Remastered – 80s Mix Song Pack II,2017-02-07,"['Casual', 'Simulation']"
Gunmetal Arcadia OST,2017-02-07,"['Action', 'Adventure', 'Indie']"
Nights of Azure,2017-02-07,['RPG']
Gunmetal Arcadia,2017-02-07,"['Action', 'Adventure', 'Indie']"
Evolvation,2017-02-06,"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation']"
Ignition,1997-01-01,"['Action', 'Racing', 'Sports']"
Otherworld: Omens of Summer Collector's Edition,2017-02-06,"['Adventure', 'Casual']"
WWE 2K17 - Accelerator,2017-02-06,"['Simulation', 'Sports']"
WWE 2K17 - MyPlayer Kick Start,2017-02-06,"['Simulation', 'Sports']"
WWE 2K17 - NXT Enhancement Pack,2017-02-06,"['Simulation', 'Sports']"
WWE 2K17 - Legends Pack,2017-02-06,"['Simulation', 'Sports']"
WWE 2K17 - Future Stars Pack,2017-02-06,"['Simulation', 'Sports']"
Fallout 4 - High Resolution Texture Pack,2017-02-06,['RPG']
WWE 2K17 - New Moves Pack,2017-02-06,"['Simulation', 'Sports']"
Knot - Soundtrack Pack,2017-02-06,"['Casual', 'Indie', 'Simulation']"
GIGA WRECKER,2017-02-06,"['Action', 'Adventure']"
GIGA WRECKER Soundtrack,2017-02-06,"['Action', 'Adventure']"
nan,nan,nan
Kronos,2017-02-03,"['Action', 'Indie', 'RPG']"
Once on a windswept night,2017-02-06,"['Casual', 'Free to Play', 'Indie']"
2 Ninjas 1 Cup,2017-02-03,"['Action', 'Indie']"
Xenon Valkyrie,2017-02-03,"['Action', 'Adventure', 'Indie', 'RPG']"
Tyler: Model 005,2017-02-03,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']"
CV Maker for Mac,2016-01-21,['Education']
Selatria: Advent of the Dakk'rian Empire,2017-02-03,"['Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']"
nan,nan,nan
nan,nan,nan
Outbreak - Rainbow Flashlight and Laser,2017-02-03,"['Action', 'Adventure', 'Indie', 'RPG']"
Outbreak - Treasure Hunter Flashlight and Laser,2017-02-03,"['Action', 'Adventure', 'Indie', 'RPG']"
Outbreak - Vital Signs Flashlight and Laser,2017-02-03,"['Action', 'Adventure', 'Indie', 'RPG']"
nan,nan,nan
Precursors,2017-02-03,"['Action', 'RPG']"
365 Days,2017-02-04,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']"
EZRA: The Stranger,2017-02-06,"['Adventure', 'Casual', 'Indie']"
FSX Steam Edition: Battle of Britain Hurricane Add-On,2017-02-03,['Simulation']
Outbreak - Danger Close Flashlight and Laser,2017-02-03,"['Action', 'Adventure', 'Indie', 'RPG']"
Taken Souls: Blood Ritual Collector's Edition,2015-03-23,"['Adventure', 'Casual']"
nan,nan,nan
Undead Blackout,2017-02-03,"['Action', 'Indie']"
Slash it 2 - Russian Edition Pack,2017-02-03,"['Action', 'Casual', 'Indie']"
Slash it 2 - Chinese Edition Pack,2017-02-03,"['Action', 'Casual', 'Indie']"
Slash it 2 - German Edition Pack,2017-02-03,"['Action', 'Casual', 'Indie']"
EvilMorph Soundtrack,2017-02-03,"['Action', 'Adventure', 'Indie']"
The Love Witch,2017-02-03,nan
The Frostrune,2017-02-02,['Adventure']
EvilMorph,2017-02-03,"['Action', 'Adventure', 'Indie']"
Queen of Seas,2017-02-02,"['Casual', 'Indie']"
Dark Angels: Masquerade of Shadows,2013-11-26,"['Adventure', 'Casual']"
Sacra Terra: Kiss of Death Collector’s Edition,2013-03-22,"['Adventure', 'Casual']"
Shtriga: Summer Camp,2014-01-20,"['Adventure', 'Casual']"
The Esoterica: Hollow Earth,2014-01-06,"['Adventure', 'Casual']"
World Keepers: Last Resort,2016-04-20,"['Adventure', 'Casual']"
Numberline,2017-02-02,"['Casual', 'Indie']"
The Saint: Abyss of Despair,2013-04-05,"['Adventure', 'Casual']"
Sovereignty: Crown of Kings,2017-02-02,"['Simulation', 'Strategy']"
ANIMALITY,2017-01-02,"['Adventure', 'Casual', 'Indie', 'Early Access']"
ANIMALITY - Animal Pack #2,2017-02-02,"['Adventure', 'Casual', 'Indie']"
Youtubers Life,2016-05-18,"['Indie', 'Simulation', 'Strategy']"
ANIMALITY - Animal Pack #1,2017-02-02,"['Adventure', 'Casual', 'Indie']"
nan,nan,nan
Diluvion,2017-02-02,"['Action', 'Adventure', 'Indie', 'RPG']"
Alwa's Awakening,2017-02-02,"['Adventure', 'Indie']"
Diluvion - Digital Artbook,2017-02-02,"['Action', 'Adventure', 'Indie', 'RPG']"
Elite Warriors: Vietnam,2006-03-25,['Action']
Diluvion - Original Soundtrack,2017-02-02,"['Action', 'Adventure', 'Indie', 'RPG']"
"Diluvion - Special Edition Sub ""Manta""",2017-02-02,"['Action', 'Adventure', 'Indie', 'RPG']"
"Diluvion - Pre-Order Sub ""Derringer""",2017-02-02,"['Action', 'Adventure', 'Indie', 'RPG']"
Diluvion - Captain's Journal,2017-02-02,"['Action', 'Adventure', 'Indie', 'RPG']"
Mouse in Lab,2017-02-01,"['Indie', 'Strategy']"
Fast and Curious,2016-08-08,"['Action', 'Adventure', 'Casual']"
Retro Pinball,2017-02-01,"['Casual', 'Indie', 'Simulation']"
nan,nan,nan
Escape the Game: Episode 1,2017 Q1,"['Adventure', 'Free to Play', 'Indie']"
Ride 2 Exotic Bikes Pack,2017-02-01,"['Racing', 'Simulation', 'Sports']"
Caliper,2017-02-01,['Indie']
Depths of Limbo,2017-02-01,"['Action', 'Adventure', 'Indie', 'Early Access']"
Kings under the hill,2017-02-01,"['Indie', 'Strategy']"
4x4 Road Race,2017-02-01,"['Indie', 'Racing']"
Depths of Limbo - Soundtrack,2017-02-01,"['Action', 'Adventure', 'Indie']"
Fire Arrow Plus,2017-02-01,"['Action', 'Indie']"
Tower Mode,2017-02-01,"['Casual', 'Indie', 'Sports']"
Talisman - The Firelands Expansion,2017-02-01,"['Indie', 'RPG', 'Strategy']"
Omega One,2017-02-01,"['Action', 'Indie']"
Midas Gold Plus,2017-02-01,"['Adventure', 'Casual', 'Free to Play', 'Indie', 'RPG']"
Awakening: The Golden Age Collector's Edition,2017-02-01,"['Adventure', 'Casual']"
Unexpected Day,2017-02-01,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation']"
Poi,2017-02-01,"['Action', 'Adventure', 'Indie']"
Civil War: 1861,2017-02-01,['Strategy']
Fantasy Grounds - Mini-Dungeon #014: The Soul of a Prince (PFRPG),2017-02-01,"['Indie', 'RPG', 'Strategy']"
Fantasy Grounds - Darkwoulfe's Volume 24 - Beast of the Bogs (Token Pack),2017-02-01,"['Indie', 'RPG', 'Strategy']"
Fantasy Grounds - Outpost (Castles &amp; Crusades),2017-02-01,"['Indie', 'RPG', 'Strategy']"
Fantasy Grounds - Mythic Monsters #26: Bugs (PFRPG),2017-02-01,"['Indie', 'RPG', 'Strategy']"
The Sorceress,2017-02-01,"['Action', 'Adventure', 'Indie', 'RPG']"
SteamHammerVR - The Soundtrack,2017-07-31,"['Action', 'Adventure', 'Indie', 'Strategy']"
nan,nan,nan
Poi - Soundtrack,2017-02-01,"['Action', 'Adventure', 'Indie']"
100% Orange Juice - Suguri &amp; Hime Winter Costumes,2017-01-31,"['Indie', 'Strategy']"
Tavern Tycoon - Dragon's Hangover,2017-01-31,"['Indie', 'Simulation', 'Strategy', 'Early Access']"
Linelight OST,2017-01-31,"['Action', 'Adventure', 'Casual', 'Indie']"
Zombie Killin',2017-01-31,"['Action', 'Casual', 'Indie']"
Mr. Triangle's Adventure,2017-01-31,"['Adventure', 'Indie', 'RPG']"
Dragon Blood,2017-01-31,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']"
Ruction: The Golden Tablet,2017-01-31,"['Adventure', 'Indie', 'Early Access']"
nan,nan,nan
Geo Soundtrack,2017-01-31,"['Adventure', 'Casual', 'Indie', 'Simulation']"
BIGFOOT,2017-01-30,"['Adventure', 'Indie', 'Early Access']"
nan,nan,nan
THE VIDEOKID,2017-01-31,"['Action', 'Casual', 'Indie']"
FourChords Guitar Karaoke - Dierks Bentley,2017-01-31,"['Casual', 'Indie', 'Simulation']"
Itineris,2017-01-31,"['Adventure', 'Casual', 'Indie']"
Quote,2017-01-31,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']"
TS Marketplace: Sherman Hill Scenario Pack 01 Add-On,2017-01-31,['Simulation']
Line of Sight,2017-01-31,"['Action', 'Free to Play', 'Indie']"
Natural - Beyond Nature - Original Ending Theme,2017-01-31,"['Adventure', 'Casual', 'Indie']"
Reptilians Must Die!,2017-01-31,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy', 'Early Access']"
nan,nan,nan
Tom Clancy's Rainbow Six® Siege - Pulse Bushido Set,2017-01-31,['Action']
Watch_Dogs® 2 - Fully Decked Out Bundle,2017-01-31,"['Action', 'Adventure']"
Angels with Scaly Wings - Digital Deluxe Edition Upgrade,2017-01-31,"['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']"
Angels with Scaly Wings,2017-01-31,"['Adventure', 'Indie', 'RPG', 'Simulation']"
FBI MANIA,2017-01-31,"['Action', 'Casual', 'Indie']"
Prism Collider,2017-01-31,"['Action', 'Indie', 'Strategy']"
Finnish Roller,2017-01-31,"['Action', 'Adventure', 'Casual', 'Indie']"
Tales of Berseria™ - Adventure Item Pack 2,2017-01-31,"['Action', 'RPG']"
Tales of Berseria™ - Summer Holiday Costume Pack,2017-01-31,"['Action', 'RPG']"
nan,nan,nan
HIKIBYOU2,2017-01-30,"['Action', 'Adventure', 'Indie']"
Magic Lantern DLC,2017-01-30,"['Adventure', 'Free to Play', 'Simulation']"
Balloon Popping Pigs: Deluxe,2017-01-30,"['Casual', 'Indie']"
"Sports Skin Bundle (or ""Buy Us Another Coke"") - Trimmer Tycoon",2017-01-31,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Strategy']"
A Long Road Home,2017-01-31,"['Adventure', 'Casual', 'Indie']"
Disgaea 2 PC / 魔界戦記ディスガイア2 PC - Digital Art Book / デジタル・アートブック,2017-01-30,['RPG']
Zup! 3 - DLC,2017-01-30,"['Casual', 'Indie']"
European Mystery: Scent of Desire Collector’s Edition,2017-01-30,"['Adventure', 'Casual']"
Hunt: The Unknown Quarry,2017-01-30,"['Indie', 'Strategy']"
HitBox,2017-01-30,"['Action', 'Indie']"
Disgaea 2 PC / 魔界戦記ディスガイア2 PC,2017-01-30,['RPG']
Hunt: The Unknown Quarry - Full Version,2017-01-30,"['Indie', 'Strategy']"
MORTEM,2017-08-17,"['Action', 'Adventure', 'Indie']"
RE:HT - War of the Human Tanks Remix Album,2017-01-30,"['Adventure', 'Indie', 'Strategy']"
Square n Fair,2017-01-31,"['Casual', 'Indie']"
Ninja Stealth 2,2017-01-30,['Indie']
Metanet Hunter CD,2017-01-30,"['Action', 'Indie']"
Double Dragon IV,2017-01-30,['Action']
Finding Hope,2017-01-30,"['Adventure', 'Casual', 'Indie', 'RPG']"
Learn Japanese To Survive! Katakana War,2017-01-30,"['Adventure', 'Indie', 'RPG', 'Strategy']"
PhotoTangler Collage Maker,2016-06-27,"['Design &amp; Illustration', 'Photo Editing', 'Utilities']"
Learn Japanese To Survive! Katakana War - Manga + Art Book,2017-01-30,"['Adventure', 'Indie', 'RPG', 'Strategy']"
Learn Japanese To Survive! Katakana War - Study Guide,2017-01-30,"['Adventure', 'Indie', 'RPG', 'Strategy']"
nan,nan,nan
Linelight,2017-01-30,"['Action', 'Adventure', 'Casual', 'Indie']"
Conan Exiles - Barbarian Edition Content,2017-01-30,"['Action', 'Massively Multiplayer', 'RPG']"
Conan Exiles,2017-01-30,"['Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Strategy', 'Early Access']"
Triangle,2017-01-30,"['Action', 'Casual', 'Indie']"
Only One Hope,2017-01-22,"['Action', 'Adventure', 'Indie', 'Simulation', 'Strategy']"
Isolation,2017-01-30,"['Adventure', 'Indie']"
Sakura Agent,2017-01-27,"['Adventure', 'Casual', 'Indie']"
Minos Strategos,2017-01-27,['Strategy']
Miner Ultra Adventures,2017-01-27,"['Action', 'Adventure', 'Indie']"
Eador. Imperium,2017-01-27,"['Indie', 'RPG', 'Strategy']"
nan,nan,nan
No Way Out,2017-01-27,"['Action', 'Adventure', 'Indie', 'Early Access']"
The Loner,2017-01-27,"['Adventure', 'Indie']"
Tyran,2017-01-27,"['Action', 'Indie', 'RPG', 'Strategy', 'Early Access']"
Snowman,2017-01-27,"['Action', 'Indie', 'Sports']"
Ellipsis,2017-01-25,"['Action', 'Indie']"
nan,nan,nan
Rayless,2017-01-25,"['Indie', 'RPG', 'Strategy']"
Resident Evil 7 / Biohazard 7 - Season Pass,2017-01-25,"['Action', 'Adventure']"
nan,nan,nan
Corona Blossom Vol.3 Journey to the Stars,2017-01-25,"['Adventure', 'Casual']"
Valentino Rossi The Game Compact,2017-01-26,"['Racing', 'Simulation', 'Sports']"
Galactic Fighters - Soundtracks,2017-01-23,"['Action', 'Indie']"
Weather Lord: Royal Holidays Collector's Edition,2016-10-12,"['Casual', 'Indie', 'Simulation', 'Strategy']"
Incredible Dracula II: The Last Call Collector's Edition,2016-08-31,"['Adventure', 'Casual', 'Strategy']"
Akihabara - Feel the Rhythm - Soundtrack,2017-01-26,['Indie']
20something,2017-01-26,"['Indie', 'RPG']"
Akihabara - Feel the Rhythm,2017-01-26,"['Action', 'Indie']"
Dark Quest 2 Soundtrack,2017-01-21,"['Indie', 'RPG', 'Strategy']"
Hearts of Iron IV: Sabaton Soundtrack Vol. 2,2017-01-26,"['Simulation', 'Strategy']"
nan,nan,nan
96 Mill,2017-01-26,"['Adventure', 'Indie']"
imprint-X,2017-01-26,"['Adventure', 'Casual', 'Indie']"
imprint-X Soundtrack,2017-01-26,"['Adventure', 'Casual', 'Indie', 'Strategy']"
FSX Steam Edition: Grumman Gulfhawk II Add-On,2017-01-26,['Simulation']
A Normal Lost Phone - Official Soundtrack,2017-01-26,"['Casual', 'Indie']"
A Normal Lost Phone,2017-01-26,"['Casual', 'Indie']"
Mainlining - Soundtrack,2017-01-26,"['Adventure', 'Indie', 'Simulation']"
Mainlining - Art Book,2017-01-26,"['Adventure', 'Indie', 'Simulation']"
nan,nan,nan
Abyssal Zone,2017-01-26,"['Casual', 'Indie']"
Witanlore: Dreamtime - Official Soundtrack,2017-01-24,"['Adventure', 'Indie', 'RPG']"
Slash It 2,2017-01-24,"['Action', 'Casual', 'Indie']"
Romance of the Three Kingdoms Ⅱ / 三國志Ⅱ,2017-01-24,['Strategy']
Witanlore: Dreamtime,2017-01-24,"['Adventure', 'Indie', 'RPG', 'Early Access']"
Genghis Khan / 蒼き狼と白き牝鹿・ジンギスカン,2017-01-24,['Strategy']
NOBUNAGA’S AMBITION: Zenkokuban / 信長の野望･全国版,2017-01-24,['Strategy']
nan,nan,nan
Splitmind,Q1 2017,"['Adventure', 'Indie']"
Heroes Evolved,Jan 2017,"['Action', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG', 'Strategy']"
Avorion,2017-01-23,"['Action', 'Indie', 'Simulation', 'Early Access']"
Nefarious,2017-01-23,"['Action', 'Adventure', 'Indie']"
Dungeon Rushers - Veterans Skins Pack,2017-01-23,"['Adventure', 'Indie', 'RPG', 'Strategy']"
Hellenica,2017-01-23,"['Indie', 'RPG', 'Strategy']"
"Fantasy Grounds - Trolls, Lizardmen and Rockmen Characters (Token Pack)",2017-01-23,"['Indie', 'RPG', 'Strategy']"
Fantasy Grounds - Summoned Helpers (Token Pack),2017-01-23,"['Indie', 'RPG', 'Strategy']"
Fantasy Grounds - Undead 2 (Token Pack),2017-01-23,"['Indie', 'RPG', 'Strategy']"
FourChords Guitar Karaoke - Luke Bryan,2017-01-19,"['Casual', 'Indie', 'Simulation']"
The Last Hope: Trump vs Mafia - North Korea,2017-01-20,"['Action', 'Adventure', 'Indie']"
Death Penalty: Beginning,2017-01-23,"['Indie', 'RPG']"
GoatPunks,2017-01-20,"['Action', 'Indie', 'Early Access']"
The Legend of Dark Witch 2 （魔神少女エピソード２）,2017-01-20,"['Action', 'Adventure', 'Casual', 'Indie']"
Soundtracks,2017-01-20,"['Action', 'Adventure', 'Casual', 'Indie']"
How to shoot a criminal,2017-01-20,"['Adventure', 'Indie', 'Simulation']"
Tactical Genius Online,2017-01-20,"['Free to Play', 'Indie', 'Strategy']"
DARIUSBURST Chronicle Saviours - Soukyuugurentai,2017-01-18,['Action']
DARIUSBURST Chronicle Saviours - Mahoudaisakusen,2016-01-18,['Action']
DARIUSBURST Chronicle Saviours - Battle Garegga,2017-01-18,['Action']
Once Upon an All Hallow's Eve,2017-01-18,['Simulation']
Werther Quest,2017-01-18,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']"
Riot of the numbers,2017-01-19,"['Action', 'Casual', 'Indie']"
Red's Kingdom,2017-01-19,"['Action', 'Adventure', 'Casual', 'Indie']"
ASSASSINATION BOX,2017-01-19,"['Action', 'Indie', 'Early Access']"
Vzerthos: The Heir of Thunder,2017-01-19,"['Action', 'Adventure', 'Indie', 'RPG']"
Extra Plinko Plays,2017-01-19,"['Casual', 'Indie', 'Sports']"
Bulby - Diamond Course,2017-01-19,"['Adventure', 'Indie']"
Rage Against The Zombies,2017-01-18,"['Action', 'Casual']"
nan,nan,nan
Other Worlds India,2017-01-20,"['Action', 'Adventure', 'Casual', 'Indie']"
Rock-N-Rogue: A Boo Bunny Plague Adventure,2017-01-19,"['Action', 'Adventure', 'Indie']"
nan,nan,nan
Frequent Flyer,2017-01-20,"['Action', 'Casual', 'Indie']"
Unhappy Ever After,2017-01-20,"['Adventure', 'Indie', 'RPG']"
